,age,job,marital,education,default,balance,ratio_bal_ln,ratio_ln_inc,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
0,32,technician,single,tertiary,no,392,1.300134421,0.473895124,yes,no,cellular,1,apr,957,2,131,2,failure,no
1,39,technician,divorced,secondary,no,688,-0.193701269,0.237021108,yes,yes,cellular,1,apr,233,2,133,1,failure,no
2,59,retired,married,secondary,no,1035,1.334266014,0.12198119,yes,yes,cellular,1,apr,126,2,239,1,failure,no
3,47,blue-collar,married,secondary,no,398,0.362285547,1.251328337,yes,yes,cellular,1,apr,274,1,238,2,failure,no
4,54,retired,married,secondary,no,1004,0.07207521,-0.533737504,yes,no,cellular,1,apr,479,1,307,1,failure,no
5,46,self-employed,divorced,tertiary,no,926,0.233618738,0.92219724,yes,no,cellular,1,apr,463,1,133,3,failure,no
6,34,blue-collar,married,secondary,no,1924,0.022647849,0.724226939,yes,yes,cellular,1,apr,161,2,253,1,failure,no
7,45,services,divorced,secondary,no,396,-0.724888954,-0.998604956,yes,yes,cellular,1,apr,251,4,329,4,failure,no
8,58,management,divorced,tertiary,no,315,0.502131107,-0.045390785,yes,no,cellular,1,apr,121,2,135,2,failure,no
9,49,management,divorced,tertiary,no,20727,1.331625314,-0.420829807,no,no,cellular,1,apr,285,3,132,2,failure,no
10,38,management,single,,no,715,1.079458797,-1.642914026,yes,no,cellular,2,apr,951,1,132,3,failure,no
11,49,admin.,married,secondary,no,182,1.368597103,-0.263567527,yes,no,cellular,2,apr,303,1,331,2,failure,no
12,36,technician,married,secondary,no,4613,0.590778858,0.309580302,no,no,cellular,2,apr,320,1,134,2,failure,no
13,39,technician,married,secondary,no,508,1.573236184,-1.482466362,yes,no,cellular,2,apr,598,2,135,5,failure,no
14,48,services,married,secondary,no,0,1.287661918,0.551498138,yes,no,cellular,2,apr,146,1,267,1,failure,no
15,38,blue-collar,married,,no,0,0.606795874,0.583823829,yes,no,cellular,2,apr,477,2,267,1,failure,no
16,46,self-employed,married,secondary,no,-30,0.505794522,-0.151907887,yes,yes,cellular,2,apr,164,1,300,2,failure,no
17,35,self-employed,married,tertiary,no,560,1.099462243,-0.092549867,yes,no,cellular,2,apr,58,1,136,1,failure,no
